Importante:
· Para reserva de fecha solicitamos 50% del valor del programa.
· Se puede cancelar el evento 15 dias antes sin complicaciones ni recargos.
"·  La cancelación del evento, una vez confirmado, ocasionará penalizacion si se realiza con menos de 15 días de anticipación."
· Se puede realizar cambios de fecha hasta 7 dias antes del evento.
"· Las modificaciones de asistentes y servicios se deben realizar con minimo de 72 hrs de anticipación, luego se paga por lo reservado. Sin posibilidad de bajas o cambios."
· Se deberá definir los horarios de los servicios y montajes de salones a más tardar 48 horas antes de iniciado el evento.
"·  Cualquier consumo adicional se cancela al momento del check-out, cada consumo debe tener autorización del encargado del evento, siempre y cuando se deje garantia o tengan credito aprobado. De lo contrario se pagan en el momento."
·  Se prohibe ingresar alimentos y bebidas al recinto.
·  El valor del descorche que se cobrará por ingreso a areas comunes y restoran es $15.000+IVA por botella.
· El valor del descorche no declarado es de $45.000+IVA por botella.
·  La entrega de habitaciones es a las 16:00 hrs el día de llegada y 12:00 hrs el día de salida / solo programa con alojamiento
·  Se prohiben las fiestas en la habitaciones o en áreas comunes sin autorizacion de la Gerencia o Vendedora a Cargo. Existen multas asociadas por ruidos molestos en habitaciones.
·  La empresa contratante deberá pagar por daños a las habitaciones o mobiliario. Esto es valor de la reparación o reposición mas los dias de no uso o no arriendo del bien o locacion.
"·  Se entiende que la empresa contratante, conoce y acepta cada uno de estos Itemes."
